id	price
201001	480
202001	480
203001	480
204001	480
205001	480
206001	480
213001	240
214001	240
215001	240
201002	640
202002	640
203002	640
204002	640
205002	640
206002	640
213002	320
214002	320
215002	320
201003	1200
202003	1200
203003	1200
204003	1200
205003	1200
206003	1200
213003	600
214003	600
215003	600
201004	1920
202004	1920
203004	1920
204004	1920
205004	1920
206004	1920
213004	960
214004	960
215004	960
201005	2880
202005	2880
203005	2880
204005	2880
205005	2880
206005	2880
213005	1440
214005	1440
215005	1440
201006	6000
202006	6000
203006	6000
204006	6000
205006	6000
206006	6000
213006	3000
214006	3000
215006	3000
