id	tid
1	101000
1	102001
1	103001
1	104001
1	105001
1	106001
1	107001
1	113001
1	114001
1	115001
1	10101
1	11001
1	11005
1	11097
1	11101
1	11193
1	11197
1	11289
1	11293
1	13002
1	13001
1	0
2	101008
2	102009
2	103009
2	104009
2	105009
2	106009
2	107009
2	113009
2	114009
2	115009
2	10101
2	10102
2	11017
2	11021
2	11305
2	11309
2	11209
2	11213
2	11113
2	11117
2	13002
2	0
3	101016
3	102017
3	103017
3	104017
3	105017
3	106017
3	107017
3	113017
3	114017
3	115017
3	10103
3	10104
3	10102
3	11033
3	11037
3	11129
3	11133
3	11225
3	11229
3	11321
3	11325
3	13002
3	13003
3	0
4	101024
4	102025
4	103025
4	104025
4	105025
4	106025
4	107025
4	113025
4	114025
4	115025
4	10104
4	10105
4	10103
4	11049
4	11053
4	11145
4	11149
4	11241
4	11245
4	11337
4	11341
4	13003
4	13004
4	0
5	101032
5	102033
5	103033
5	104033
5	105033
5	106033
5	107033
5	113033
5	114033
5	115033
5	10105
5	10106
5	11065
5	11069
5	11353
5	11357
5	11257
5	11261
5	11161
5	11165
5	13004
5	13005
5	0
6	101040
6	102041
6	103041
6	104041
6	105041
6	106041
6	107041
6	113041
6	114041
6	115041
6	10105
6	10106
6	10104
6	11081
6	11085
6	11177
6	11181
6	11273
6	11277
6	11369
6	11373
6	13005
6	13006
6	0
11	10101
11	10102
11	101002
11	102003
11	103003
11	104003
11	105003
11	106003
11	107003
11	113003
11	114003
11	115003
11	0
12	11005
12	11101
12	11197
12	11293
13	10102
13	10101
13	101004
13	102005
13	103005
13	104005
13	105005
13	106005
13	107005
13	113005
13	114005
13	115005
13	13001
13	13002
13	0
14	11009
14	11105
14	11201
14	11297
15	10102
15	10103
15	101006
15	102007
15	103007
15	104007
15	105007
15	106007
15	107007
15	113007
15	114007
15	115007
15	13002
15	13001
15	0
16	11013
16	11109
16	11205
16	11301
21	10102
21	10103
21	13002
21	101010
21	102011
21	103011
21	104011
21	105011
21	106011
21	107011
21	113011
21	114011
21	115011
21	0
22	11021
22	11117
22	11213
22	11309
23	10102
23	10103
23	13002
23	101012
23	102013
23	103013
23	104013
23	105013
23	106013
23	107013
23	114013
23	115013
23	0
24	11025
24	11121
24	11217
24	11313
25	10103
25	10104
25	13003
25	101014
25	102015
25	103015
25	104015
25	105015
25	106015
25	107015
25	113015
25	114015
25	115015
25	0
26	11029
26	11125
26	11221
26	11317
31	10103
31	10104
31	13002
31	13003
31	101018
31	102019
31	103019
31	104019
31	105019
31	106019
31	107019
31	113019
31	114019
31	115019
31	0
32	11037
32	11133
32	11229
32	11325
33	10104
33	10105
33	13003
33	101020
33	102021
33	103021
33	104021
33	105021
33	106021
33	107021
33	113021
33	114021
33	115021
33	0
34	11041
34	11137
34	11233
34	11329
35	10105
35	10106
35	13003
35	13004
35	101022
35	102023
35	103023
35	104023
35	105023
35	106023
35	107023
35	113023
35	114023
35	115023
35	0
36	11045
36	11141
36	11237
36	11333
41	10104
41	10105
41	13003
41	13004
41	101026
41	102027
41	103027
41	104027
41	105027
41	106027
41	107027
41	113027
41	114027
41	115027
41	0
42	11053
42	11149
42	11245
42	11341
43	10105
43	10106
43	13003
43	13004
43	101028
43	102029
43	103029
43	104029
43	105029
43	106029
43	106029
43	106029
43	106029
43	115029
43	0
44	11057
44	11153
44	11249
44	11345
45	10106
45	10106
45	13005
45	13004
45	101030
45	102031
45	103031
45	104031
45	105031
45	106031
45	107031
45	113031
45	114031
45	115031
45	0
46	11061
46	11157
46	11253
46	11349
51	10105
51	10106
51	13005
51	13004
51	101034
51	102035
51	103035
51	104035
51	105035
51	106035
51	107035
51	113035
51	114035
51	115035
51	0
52	11357
52	11261
52	11165
52	11069
53	10106
53	10106
53	13005
53	13004
53	101036
53	102037
53	103037
53	104037
53	105037
53	106037
53	107037
53	113037
53	114037
53	115037
53	0
54	11361
54	11265
54	11169
54	11073
55	10106
55	10107
55	13004
55	13005
55	101038
55	102039
55	103039
55	104039
55	105039
55	106039
55	107039
55	113039
55	114039
55	115039
55	0
56	11365
56	11269
56	11173
56	11077
61	10105
61	10106
61	13005
61	13005
61	101042
61	102043
61	103043
61	104043
61	105043
61	106043
61	107043
61	113043
61	114043
61	115043
61	0
62	11085
62	11181
62	11277
62	11373
63	10106
63	10106
63	13006
63	13005
63	101044
63	102045
63	103045
63	104045
63	105045
63	106045
63	107045
63	113045
63	114045
63	115045
63	0
64	11089
64	11185
64	11281
64	11377
65	10106
65	10107
65	13006
65	101046
65	102047
65	103047
65	104047
65	105047
65	106047
65	107047
65	113047
65	114047
65	115047
65	0
66	11093
66	11189
66	11285
66	11381
101	113001
102	13001
103	10109
