id	tid
1	0
2	0
3	1102001
3	0
3	10101
3	10102
3	10103
4	0
5	0
6	1113001
6	0
6	10101
6	10102
6	10103
7	0
8	0
9	1105001
9	0
9	10101
9	10102
9	10103
10	0
10	0
11	0
11	0
12	1114001
12	0
12	10101
12	10102
12	10103
13	0
13	0
14	0
14	0
15	1104001
15	0
15	10101
15	10102
15	10103
16	0
16	0
17	0
18	1115001
18	0
18	10101
18	10102
18	10103
19	0
19	0
20	0
20	0
21	1106001
21	0
21	10101
21	10102
21	10103
22	0
22	0
23	0
23	0
24	1101001
24	0
24	10101
24	10102
24	10103
25	0
25	0
26	0
26	0
27	1103001
27	0
27	10101
27	10102
27	10103
28	0
28	0
29	0
29	0
30	1114001
30	0
30	10101
30	10102
30	10103
31	0
31	0
32	0
32	0
33	1107001
33	0
33	10101
33	10102
33	10103
34	0
34	0
35	0
35	0
36	1115001
36	0
36	10101
36	10102
36	10103
37	0
37	0
38	0
38	0
39	1101001
39	0
39	10101
39	10102
39	10103
40	0
40	0
41	0
42	40001
42	0
42	10101
42	10102
42	10103
43	40003
43	0
44	40004
44	0
45	40002
45	40005
45	0
45	10101
45	10102
45	10103
46	40006
46	0
47	0
47	0
48	40003
48	0
48	10101
48	10102
48	10103
49	40007
49	0
50	40008
50	0
51	40004
51	0
51	10101
51	10102
51	10103
52	40009
52	0
53	40010
53	0
54	40005
54	0
54	10101
54	10102
54	10103
55	0
56	0
57	40006
57	0
57	10101
57	10102
57	10103
58	40003
58	0
59	40004
59	0
60	40007
60	0
60	10101
60	10102
60	10103
61	40005
61	0
62	40006
62	0
63	40008
63	0
63	10101
63	10102
63	10103
64	0
64	0
65	0
66	40009
66	0
66	10101
66	10102
66	10103
67	0
67	0
68	0
68	0
69	40010
69	0
69	10101
69	10102
69	10103
70	0
70	0
71	0
71	0
72	40011
72	0
72	10101
72	10102
72	10103
73	0
73	0
74	0
75	40012
75	0
75	10101
75	10102
75	10103
76	0
76	0
77	0
77	0
78	40013
78	0
78	10101
78	10102
78	10103
79	0
79	0
80	0
81	40014
81	0
81	10101
81	10102
81	10103
82	0
82	0
83	0
83	0
84	40015
84	0
84	10101
84	10102
84	10103
85	0
85	0
86	0
86	0
87	40016
