id	price	newlev
201001	720	6
202001	720	6
203001	720	6
204001	720	6
205001	720	6
206001	720	6
207001	720	6
213001	360	6
214001	360	6
215001	360	6
201002	960	5
202002	960	5
203002	960	5
204002	960	5
205002	960	5
206002	960	5
207002	960	5
213002	480	5
214002	480	5
215002	480	5
201003	1800	4
202003	1800	4
203003	1800	4
204003	1800	4
205003	1800	4
206003	1800	4
207003	1800	4
213003	900	4
214003	900	4
215003	900	4
201004	2880	3
202004	2880	3
203004	2880	3
204004	2880	3
205004	2880	3
206004	2880	3
207004	2880	3
213004	1440	3
214004	1440	3
215004	1440	3
201005	4320	2
202005	4320	2
203005	4320	2
204005	4320	2
205005	4320	2
206005	4320	2
207005	4320	2
213005	2160	2
214005	2160	2
215005	2160	2
201006	9000	1
202006	9000	1
203006	9000	1
204006	9000	1
205006	9000	1
206006	9000	1
207006	9000	1
213006	4500	1
214006	4500	1
215006	4500	1
