id	money
6	20
7	20
8	20
9	20
10	20
11	20
12	20
13	20
14	20
15	20
16	40
17	40
18	40
19	40
20	40
21	40
22	40
23	40
24	40
25	40
26	40
27	40
28	40
29	40
30	40
31	60
32	60
33	60
34	60
35	60
36	60
37	60
38	60
39	60
40	60
41	60
42	60
43	60
44	60
45	60
46	60
47	60
48	60
49	60
50	60
51	300
52	300
53	300
54	300
55	300
56	300
57	300
58	300
59	300
60	300
61	300
62	300
63	300
64	300
65	300
66	300
67	300
68	300
69	300
70	300
71	300
72	300
73	300
74	300
75	300
76	500
77	500
78	500
79	500
80	500
81	500
82	500
83	500
84	500
85	500
86	500
87	500
88	500
89	500
90	500
91	500
92	500
93	500
94	500
95	500
96	500
97	500
98	500
99	500
100	500
101	800
102	800
103	800
104	800
105	800
